spell,count
accio,33
expecto patronum,33
stupefy,26
expelliarmus,25
avada kedavra,21
lumos,21
riddikulus,15
crucio,14
impedimenta,13
petrificus totalus,11
muffliato,11
sectumsempra,10
reparo,10
protego,10
alohomora,9
aguamenti,9
silencio,8
imperio,8
legilimens,7
wingardium leviosa,7
levicorpus,6
diffindo,6
relashio,5
impervius,5
rennervate,5
dissendium,4
obliviate,4
reducto,4
scourgify,3
sonorus,3
tergeo,3
priori incantatem,3
colloportus,3
expecto,3
point me,2
locomotor,2
liberacorpus,2
evanesco,2
confringo,2
inanimatus conjurus,2
portus,2
revelio specialis,2
momentum,2
episkey,2
descendo,2
avada,2
finite,2
incarcerous,2
reducio,2
furnunculus,2
engorgio,2
meteolojinx recanto,2
tarantallegra,2
incendio,2
cave inimicum,2
revelio homenum,2
nox,2
expulso,1
lumos incendio,1
glisseo,1
piertotum locomotor,1
piertotum,1
protego horribilis,1
defodio,1
confundo,1
obscuro,1
salvio hexia protego totalum,1
deprimo,1
erecto,1
muggletum salvio totalum repello muffliato protego hexia,1
geminio,1
langlock,1
incantatem impervius finite,1
capacious,1
mimblewimble,1
expelliarmus avada kedavra,1
oppugno,1
mobilicorpus,1
mortis locomotor,1
pesternomi peskipiksi,1
rictusempra,1
finite incantatem,1
serpensortia,1
aparecium,1
waddiwasi,1
mobiliarbus,1
ferula,1
quietus,1
anapneo,1
morsmordre,1
prior incantato,1
deletrius,1
densaugeo,1
orchideous,1
avis,1
expelliarmus stupefy,1
flagrate,1
pack,1
duro,1
all counts,446
